date,energylevel,onlycardio,remarks__enrgy.weights_cardio_hiit_spinning_bodywthome
2024-01-01,0,0,
2024-01-02,0,0,
2024-01-03,3.10000,0,
2024-01-04,4.10000,0,
2024-01-05,4.01000,1,
2024-01-06,2.10000,0,
2024-01-07,0,0,
2024-01-08,3.10000,0,
2024-01-09,0,0,
2024-01-10,4.10000,0,
2024-01-11,4.10000,0,
2024-01-12,0,0,
2024-01-13,3.10000,0,
2024-01-14,0,0,
2024-01-15,0,0,
2024-01-16,5.10000,0,
2024-01-17,4.01000,1,
2024-01-18,0,0,
2024-01-19,3.10000,0,
2024-01-20,0,0,
2024-01-21,0,0,
2024-01-22,3.10000,0,
2024-01-23,0,0,
2024-01-24,0,0,
2024-01-25,0,0,
2024-01-26,0,0,
2024-01-27,2.10000,0,
2024-01-28,0,0,
2024-01-29,5.10000,0,
2024-01-30,4.01000,1,
2024-01-31,4.10000,0,
2024-02-01,4.10000,0,
2024-02-02,0,0,
2024-02-03,5.10000,0,
2024-02-04,0,0,
2024-02-05,0,0,
2024-02-06,5.10000,0,
2024-02-07,0,0,
2024-02-08,4.10000,0,
2024-02-09,0,0,
2024-02-10,0,0,
2024-02-11,0,0,
2024-02-12,5.10000,0,
2024-02-13,0,0,
2024-02-14,4.10000,0,
2024-02-15,0,0,
2024-02-16,0,0,
2024-02-17,0,0,
2024-02-18,0,0,
2024-02-19,0,0,
2024-02-20,0,0,
2024-02-21,0,0,
2024-02-22,5.01000,1,
2024-02-23,5.10000,0,
2024-02-24,4.10100,0,hiit,
2024-02-25,0,0,
2024-02-26,5.01000,1,
2024-02-27,5.10000,0,
2024-02-28,4.10000,0,
2024-02-29,2.10000,0,
2024-03-01,0,0,
2024-03-02,0,0,
2024-03-03,0,0,
2024-03-04,5.10000,0,
2024-03-05,5.10000,0,
2024-03-06,4.10000,0,
2024-03-07,5.10000,0,
2024-03-08,3.01000,1,
2024-03-09,1.10000,0,
2024-03-10,0,0,
2024-03-11,5.01000,1,
2024-03-12,3.10000,0,
2024-03-13,4.01000,1,
2024-03-14,3.10000,0,
2024-03-15,5.01000,1,
2024-03-16,0,0,
2024-03-17,0,0,
2024-03-18,4.10000,0,
2024-03-19,4.01000,1,
2024-03-20,3.10000,0,
2024-03-21,3.01000,1,
2024-03-22,5.10000,0,
2024-03-23,5.10000,0,
2024-03-24,0,0,
2024-03-25,0,0,
2024-03-26,3.10100,0,hiit,
2024-03-27,5.10000,0,
2024-03-28,5.01000,1,
2024-03-29,4.10000,0,
2024-03-30,5.01100,1,hiit,
2024-03-31,0,0,
2024-04-01,5.10000,0,
2024-04-02,3.10000,0,
2024-04-03,5.10010,0,spinning,
2024-04-04,4.10000,0,
2024-04-05,5.10000,0,
2024-04-06,1.01000,1,
2024-04-07,0,0,
2024-04-08,3.10000,0,
2024-04-09,3.01000,1,
2024-04-10,2.10000,0
2024-04-11,5.01000,1,
2024-04-12,5.10000,0,
2024-04-13,0,0,
2024-04-14,0,0,
2024-04-15,0,0,
2024-04-16,5.01000,1,
2024-04-17,3.10000,0,
2024-04-18,4.01000,1,
2024-04-19,3.10000,0,
2024-04-20,5.01100,1,hiit,
2024-04-21,0,0,
2024-04-22,4.10000,0,
2024-04-23,4.01100,1,hiit,
2024-04-24,0,0,
2024-04-25,2.00001,0,bodyweight_at_home,
2024-04-26,3.00001,0,bodyweight_at_home,
2024-04-27,3.00001,0,bodyweight_at_home,
2024-04-28,2.00001,0,bodyweight_at_home,
2024-04-29,0.00000,0,
2024-04-30,2.00001,0,bodyweight_at_home,
2024-05-01,2.00001,0,bodyweight_at_home,
2024-05-02,2.00001,0,bodyweight_at_home,
2024-05-03,1.00001,0,bodyweight_at_home,
2024-05-04,0,0,
2024-05-05,0,0,
2024-05-06,0,0,
2024-05-07,0,0,
2024-05-08,4.10100,0,
2024-05-09,4.00100,0,
2024-05-10,4.10000,0,
2024-05-11,4.00100,0,
2024-05-12,0,
2024-05-13,5.10000,
2024-05-14,5.01000,
2024-05-15,5.10000,
2024-05-16,4.01000,
2024-05-17,5.10000,
2024-05-18,0,
2024-05-19,0,
2024-05-20,5.10000,
2024-05-21,4.01000,
2024-05-22,5.10000,
2024-05-23,0,
2024-05-24,1.01000,
2024-05-25,0,
2024-05-26,0,
2024-05-27,0,
2024-05-28,1.01000,
2024-05-29,1.01000,
2024-05-30,3.01000,
2024-05-31,0,
2024-06-01,4.11100,
2024-06-02,0,
2024-06-03,5.10000,
2024-06-04,4.01000,
2024-06-05,3.10000,
2024-06-06,3.01000,
2024-06-07,0,
2024-06-08,0,
2024-06-09,0,
2024-06-10,0,
2024-06-11,0,
2024-06-12,0,
2024-06-13,5.01000,
2024-06-14,5.10000,
2024-06-15,5.01000,
2024-06-16,0,
2024-06-17,3.10000,
2024-06-18,5.01000,
2024-06-19,5.10000,
2024-06-20,0,
2024-06-21,4.10000,
2024-06-22,0,
2024-06-23,0,
2024-06-24,3.10000,
2024-06-25,5.01000,
2024-06-26,5.10000,
2024-06-27,0,
2024-06-28,0,
2024-06-29,0,
2024-06-30,5.01000,
2024-07-01,5.10000,
2024-07-02,4.01000,
2024-07-03,3.10000,
2024-07-04,4.00100,
2024-07-05,4.10000,
2024-07-05,4.10000,
2024-07-06,5.01000,
2024-07-07,0,
2024-07-08,4.10000,
2024-07-09,5.01000,
2024-07-10,5.10000,
2024-07-11,5.01000,
2024-07-12,0,
2024-07-13,0,
2024-07-14,0,
2024-07-15,0,
2024-07-16,0,
2024-07-17,0,
2024-07-18,0,
2024-07-19,3.00001,
2024-07-20,2.00001,
2024-07-21,3.00001,
2024-07-22,2.00001,
2024-07-23,3.00001,
2024-07-24,0,
2024-07-25,0,
2024-07-26,3.10000,
2024-07-27,5.10000,
2024-07-28,0,
2024-07-29,5.10000,
2024-07-30,5.01000,
2024-07-31,0,
2024-08-01,0,
2024-08-02,0,
2024-08-03,3.01000,
2024-08-04,3.01000,
2024-08-05,5.10000,
2024-08-06,5.01000,
2024-08-07,5.10000,
2024-08-08,5.00100,
2024-08-09,2.10000,
2024-08-10,4.01000,
2024-08-11,4.01000,
2024-08-12,4.10000,
